C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;18  5/16;;19  5/16;;20  5/16;;21  5/16;;22 13/16;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;11  3/8 ;;11  5/8 ;;11  7/8 ;;12  1/8 ;;12  3/8 ;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO ;;P;CRITICA;  5/16;  3/8 ;7  5/8 ;;8  1/8 ;;8  5/8 ;;9  1/8 ;;9  7/8 ;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;9  1/2 ;;9  3/4 ;;10      ;;10  1/4 ;;10  1/2 ;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;7 11/16;;7 13/16;;7 15/16;;8  1/16;;8  3/16;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;26  3/16;;26 11/16;;27  3/16;;27 11/16;;28  3/16;;;;;;;;;;;;;;;;;
I;ANCHO DE HOMBRO ESPALDA 1/2;;P;CRITICA;  3/8 ;  3/8 ;5 15/16;;6  1/16;;6  3/16;;6  5/16;;6  7/16;;;;;;;;;;;;;;;;;
J;SISA RECTA ESPALDA;;P;CRITICA;  5/16;  3/8 ;8  9/16;;9  1/16;;9  9/16;;10  1/16;;10 13/16;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;4 15/16;;5  1/16;;5  3/16;;5  5/16;;5  7/16;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;2 11/16;;2 13/16;;2 15/16;;3  1/16;;3  3/16;;;;;;;;;;;;;;;;;
M;ANCHO DE PECHO ESPALDA  EN SISA 1/2;;P;CRITICA;  3/8 ;  1/4 ;9  3/8 ;;9  7/8 ;;10  3/8 ;;10  7/8 ;;11  5/8 ;;;;;;;;;;;;;;;;;
N;ANCHO DE FALDON ESPALDA 1/2 ;;P;CRITICA;  3/8 ;  3/8 ;9  5/8 ;;10  1/8 ;;10  5/8 ;;11  1/8 ;;11  7/8 ;;;;;;;;;;;;;;;;;
O;LARGO DE CENTRO ESPALDA;;P;CRITICA;;  1/4 ;23  5/8 ;;24      ;;24  3/8 ;;24  3/4 ;;25  1/8 ;;;;;;;;;;;;;;;;;
P;LARGO DE COLLARETA DE CUELLO;;C;CRITICA;;;34  3/4 ;;25  1/2 ;;36  1/4 ;;37      ;;37  3/4 ;;;;;;;;;;;;;;;;;
Q;ALTO DE COLLARETA DE CUELLO;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;
R;LARGO DE COLLARETA SISA;;C;CRITICA;;;22  7/8 ;;23 15/16;;25      ;;26  1/16;;27 13/16;;;;;;;;;;;;;;;;;
S;ALTO DE COLLARETA SISA;;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
