FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7354
FECHA DE GENERACION:  ;;28/12/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;MARMAXX;;;;;;;;;ESTILO PROPIO 1: ;;;;02563-P1;;;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;
ESTILO CLIENTE:;;AN11390;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;4.5%;;;;
SILUETA:;;REGULAR;;;;;;;;;TEMPORADA:;;;;MAYO LP 2023;;;;;;;;;;TRAVEZ;;;;3.5%;;;;
DIVISION:;;MISSY;;;;;;;;;TALLAS:;;;;XS-S-M-L-XL;;;;;;;;;;LARG.DE MANGA;;;;4.0%;;;;
TIPO MUESTRA:;;PRODUCCION PROGRAMA -40;;;;;;;;;MEDIDA :;;;;PULGADA;;;;YOEL;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;;;;;;;;;;;;;;;;;
A;LARGO DELANTERO;;P;CRITICA;  5/16;  1/4 ;22      ;;22  1/2 ;;23      ;;23  1/2 ;;24      ;;;;;;;;;;;;;;;;;;
B;LARGO ESPALDA;;P;CRITICA;  5/16;  1/4 ;22  1/2 ;;23      ;;23  1/2 ;;24      ;;24  1/2 ;;;;;;;;;;;;;;;;;;
C;ANCHO  DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16 11/16;;17  3/16;;17 11/16;;18  3/16;;18 15/16;;;;;;;;;;;;;;;;;;
