FICHA DE ESPECIFICACIONES TECNICAS   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOJA DE MEDIDAS DE MOLDE  -  PRENDA LAVADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE GENERACION:;;2/12/2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FECHA DE ACTUALIZACION:;;;;;;;;;;;;;AJUSTE DE MOLDE PARA DISMINUIR CONSUMO;;;;;;;;;;;;;;;;;;;;;
CLIENTE:;;LANDS END;;;;;;;;;ESTILO PROPIO 1:     ;;;;;;11265;;;;;;;;ENCOGIMIENTO;;;;MOLDE;;;;;
ESTILO CLIENTE:;;528782;;;;;;;;;ESTILO PROPIO 2:;;;;;;;;;;;;;;HILO;;;;6.5%;;;;;8.0%
SILUETA:;;J FIT;;;;;;;;;TEMPORADA:;;;;;;SS'22;;;;;;;;TRAVEZ;;;;7.0%;;;;;7.5%
DIVISION:;;MENS;;;;;;;;;TALLAS:;;;;;;S-M-L-XL-XXL;;;;;;;;LARG.DE MANGA;;;;6.5%;;;;;8.0%
TIPO MUESTRA:;;PRODUCCION PROGRAMA # 176;;;;;;;;;MEDIDA :;;;;;;PULGADA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;MARGEN DE RECORTES;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;UNION DE HOMBROS;;;;  1/8 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;PEGADO DE MANGA;;;;  3/16;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;CERRADO DE COSTADOS;;;;  3/16;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;BASTA DE FALDON ;;;;  1/4 ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);S;;M;;L;;XL;;XXL;;;;;;;;;;;;;;;;;;;
A;ABERTURA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;5  9/16;;5  3/4 ;;6      ;;6  1/4 ;;6  1/2 ;;;;;;;;;;;;;;;;;;;
B;CAIDA DE ESCOTE DELANTERO;;P;CRITICA;  1/4 ;  1/4 ;2 15/16;;3  1/16;;3  3/16;;3  7/16;;3  9/16;;;;;;;;;;;;;;;;;;;
C;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;19  3/16;;19 15/16;;20 11/16;;21  7/16;;22  3/16;;;;;;;;;;;;;;;;;;;
D;ANCHO DE PECHO EN LINEA DE SISA;;P;CRITICA;;;21  3/8 ;;22  5/8 ;;23  7/8 ;;25  1/8 ;;26  3/8 ;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;  1/2 ;  1/2 ;7  9/16;;8  1/8 ;;8  3/4 ;;9  5/16;;9  7/8 ;;;;;;;;;;;;;;;;;;;
F;ANCHO DE FALDON;;P;CRITICA;  3/8 ;  3/8 ;21  1/8 ;;22  3/8 ;;23  5/8 ;;24  7/8 ;;26  1/8 ;;;;;;;;;;;;;;;;;;;
G;LARGO DE CUERPO DELANTERO;;P;CRITICA;  5/16;  1/4 ;29  3/16;;29 15/16;;30 11/16;;31  7/16;;32  5/16;;;;;;;;;;;;;;;;;;;
H;ABERTURA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;;;;;;;;;;;;;;;;;;
I;CAIDA DE ESCOTE ESPALDA;;P;CRITICA;  1/4 ;  1/4 ;1  3/16;;1  3/16;;1  3/16;;1  5/16;;1  7/16;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;;;19  1/2 ;;20  1/4 ;;21      ;;21  3/4 ;;22  1/2 ;;;;;;;;;;;;;;;;;;;
K;SISA RECTA ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;8  1/2 ;;9  1/16;;9 11/16;;10  1/4 ;;10 13/16;;;;;;;;;;;;;;;;;;;
L;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16;  1/4 ;30  1/8 ;;30  7/8 ;;31  5/8 ;;32  3/8 ;;33  1/8 ;;;;;;;;;;;;;;;;;;;
M;LARGO DE MANGA;;P;CRITICA;  1/2 ;  1/2 ;9  1/4 ;;9  1/2 ;;9  3/4 ;;10      ;;10  1/4 ;;;;;;;;;;;;;;;;;;;
N;ANCHO DE MANGA EN SISA;;P;CRITICA;  3/8 ;  3/8 ;16 11/16;;18      ;;18  7/8 ;;20  1/8 ;;21  3/16;;;;;;;;;;;;;;;;;;;
O;ABERTURA DE BOCA  MANGA;;P;CRITICA;  1/2 ;  1/2 ;14  1/16;;14  9/16;;15  5/16;;15  3/4 ;;16  1/4 ;;;;;;;;;;;;;;;;;;;
P;LARGO DE TAJO;;P;CRITICA;  7/16;  1/2 ;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;5  1/4 ;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE TAJO;;P;CRITICA;  7/16;  1/4 ;1      ;;1      ;;1      ;;1      ;;1      ;;;;;;;;;;;;;;;;;;;
R;LARGO DE PECHERA;;C;CRITICA;;;8      ;;8      ;;8      ;;8      ;;8      ;;;;;;;;;;;;;;;;;;;
S;ANCHO DE PECHERA;;C;CRITICA;;;3  7/8 ;;3  7/8 ;;3  7/8 ;;3  7/8 ;;3  7/8 ;;;;;;;;;;;;;;;;;;;
T;LARGO DE TAPETE DE VENTS;;C;CRITICA;;;10      ;;10      ;;10      ;;10      ;;11      ;;;;;;;;;;;;;;;;;;;
U;ALTO DE TAPETE DE VENTS;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;;;;;;;;;;;;;;;;;;
V;LARGO DE TAPETE DE HOMBROS;;C;CRITICA;;;18  1/4 ;;19      ;;19  3/4 ;;20  1/2 ;;21  1/4 ;;;;;;;;;;;;;;;;;;;
W;ALTO DE TAPETE DE HOMBROS;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
X;LARGO DE TAPETE DE ESCOTE;;C;CRITICA;;;21      ;;21  5/8 ;;22  1/4 ;;23  1/8 ;;23  7/8 ;;;;;;;;;;;;;;;;;;;
Y;ALTO DE TAPETE DE ESCOTE;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
Z;LARGO DE PUÑO RECTILINEO;;C;CRITICA;  1/4 ;  3/8 ;12  3/4 ;;13  1/4 ;;14      ;;14  1/2 ;;15      ;;;;;;;;;;;;;;;;;;;
Z1;ALTO DE PUÑO RECTILINEO;;C;CRITICA;;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;1  3/16;;;;;;;;;;;;;;;;;;;
1;LARGO DE CUELLO ;;C;CRITICA;;;15      ;;15  3/4 ;;16  1/2 ;;17  1/4 ;;18      ;;;;;;;;;;;;;;;;;;;
2;ALTO DE CUELLO EN 1/2 CENTRO;;C;CRITICA;  1/4 ;  1/4 ;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;3  1/2 ;;;;;;;;;;;;;;;;;;;
3;ALTO DE PUNTA DE CUELLO;;C;CRITICA;  1/4 ;  1/4 ;3      ;;3      ;;3      ;;3      ;;3      ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
