COD.;DESCRIPCIÓN;;P/C;CRITICA;MARGEN (1);MARGEN (2);XS;;S;;M;;L;;XL;;2XL;;3XL;;;;;;;;;;;;;;;;;;;;;;;
A;LARGO DE DELANTERO;;P;CRITICA;  5/16;  1/4 ;27  1/4 ;;28  1/4 ;;29  1/4 ;;30  1/4 ;;31  1/4 ;;32  1/4 ;;33  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
B1;ANCHO DE PECHO DELANTERO EN SISA;;P;CRITICA;  3/8 ;  3/8 ;20      ;;21      ;;22      ;;23  1/2 ;;25      ;;27  1/2 ;;30      ;;;;;;;;;;;;;;;;;;;;;;;
B;ANCHO DE PECHO ESPALDA EN SISA;;P;CRITICA;;;20  1/4 ;;21  1/4 ;;22  5/16;;23 13/16;;25  5/16;;27 13/16;;30  5/16;;;;;;;;;;;;;;;;;;;;;;;
C1;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  3/16;;20  3/16;;21  3/16;;22  5/8 ;;24  3/16;;26  5/8 ;;29  3/16;;;;;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON ESPALDA;;P;CRITICA;;;19  7/16;;20  7/16;;21  7/16;;22  7/8 ;;24  7/16;;26  7/8 ;;29  7/16;;;;;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;16 13/16;;17  9/16;;18  5/16;;19  5/16;;20  5/16;;21  3/4 ;;23  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
E;SISA RECTA DELANTERO;;P;CRITICA;;;6 15/16;;7  7/16;;7 15/16;;8  3/8 ;;8 13/16;;9  9/16;;10  5/16;;;;;;;;;;;;;;;;;;;;;;;
F;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  1/8 ;;5  1/4 ;;5  3/8 ;;5 11/16;;5 15/16;;6  1/2 ;;6 15/16;;;;;;;;;;;;;;;;;;;;;;;
G;CAIDA DE CUELLO DELANTERO;;P;CRITICA;;;2  9/16;;2 11/16;;2 13/16;;2 15/16;;3  1/16;;3  5/16;;3  9/16;;;;;;;;;;;;;;;;;;;;;;;
H;LARGO DE CUERPO ESPALDA;;P;CRITICA;  5/16; 1/4;29 13/16;;30 13/16;;31 13/16;;32 13/16;;33 13/16;;34 13/16;;35 13/16;;;;;;;;;;;;;;;;;;;;;;;
I;SISA RECTA ESPALDA;;P;CRITICA;;;8  5/8 ;;9  3/16;;9 11/16;;10  1/16;;10  1/2 ;;11  3/16;;11 15/16;;;;;;;;;;;;;;;;;;;;;;;
J;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;18  3/16;;18 15/16;;19 11/16;;20 11/16;;21 11/16;;23  3/16;;24 11/16;;;;;;;;;;;;;;;;;;;;;;;
K;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;6  7/16;;6  9/16;;6 11/16;;6 15/16;;7  1/4 ;;7 13/16;;8  1/4 ;;;;;;;;;;;;;;;;;;;;;;;
L;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  9/16;;1  9/16;;1 11/16;;1 11/16;;1 13/16;;1 13/16;;1 15/16;;;;;;;;;;;;;;;;;;;;;;;
M;BICEP ANCHO DE MANGA;;P;CRITICA; 3/8; 3/8;16 13/16;;17  7/16;;18      ;;19      ;;19 11/16;;21  3/16;;22 11/16;;;;;;;;;;;;;;;;;;;;;;;
N;ANCHO DE BOCA DE MANGA;;P;CRITICA; 3/8; 3/8;12  7/8 ;;13  7/8 ;;14  7/8 ;;15  7/8 ;;16  7/8 ;;18  3/8 ;;19 15/16;;;;;;;;;;;;;;;;;;;;;;;
LL;LARGO DE MANGA;;P;CRITICA;  3/8 ;  1/4 ;7  9/16;;8  3/16;;8 13/16;;9  5/16;;9 13/16;;10  5/16;;10 13/16;;;;;;;;;;;;;;;;;;;;;;;
Ñ;ANCHO DE PARCHE ESPALDA;;C;CRITICA;;;6      ;;6  1/8 ;;6  1/4 ;;6  9/16;;6 13/16;;7  7/16;;7  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
O;ALTO DE PARCHE ESPALDA;;C;CRITICA;;;4      ;;4  1/8 ;;4  1/4 ;;4  3/8 ;;4  1/2 ;;4  3/4 ;;5      ;;;;;;;;;;;;;;;;;;;;;;;
P;ANCHO DE CUELLO INTERIOR/BORDE SUPERIOR;;C;CRITICA;;;17  1/8 ;;17  5/8 ;;18  1/8 ;;18 13/16;;19  5/8 ;;20 13/16;;22  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE CUELLO INTERIOR/BORDE INFERIOR;;C;CRITICA;;;16  1/8 ;;16  5/8 ;;17  1/8 ;;17  7/8 ;;18  5/8 ;;19  7/8 ;;21  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
R;ALTO DE CUELLO INTERIOR;;C;CRITICA;;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  5/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
P1;ANCHO DE CUELLO EXTERIOR/BORDE SUPERIOR;;C;CRITICA;;;16  7/8 ;;17  3/8 ;;17  7/8 ;;18  9/16;;19  3/8 ;;20  9/16;;21  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
Q1;ANCHO DE CUELLO EXTERIOR/BORDE INFERIOR;;C;CRITICA;;;15  7/8 ;;16  3/8 ;;16  7/8 ;;17  5/8 ;;18  3/8 ;;19  5/8 ;;20  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
R1;ALTO DE CUELLO EXTERIOR;;C;CRITICA;;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 11/16;;2 15/16;;2 15/16;;;;;;;;;;;;;;;;;;;;;;;
S;ANCHO DE BANDA INTERIOR;;C;CRITICA;;;18  1/8 ;;18  9/16;;19  1/8 ;;19 13/16;;20  9/16;;21 13/16;;23  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
T;ALTO DE BANDA INTERIOR;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
S1;ANCHO  DE BANDA EXTERNO;;C;CRITICA;;;17 13/16;;18  5/16;;18 13/16;;19  9/16;;20  5/16;;21  9/16;;22 13/16;;;;;;;;;;;;;;;;;;;;;;;
T1;ALTO DE BANDA EXTERNO;;C;CRITICA;;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  1/2 ;;1  3/4 ;;1  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
U;ALTO DE PECHERA SUPERIOR;;C;CRITICA;;;7      ;;7  1/4 ;;7  1/4 ;;7  1/2 ;;7  1/2 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
V;ANCHO PECHERA SUPERIOR;;C;CRITICA;;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
W;ALTO DE PECHERA INFERIOR;;C;CRITICA;;;7      ;;7  1/4 ;;7  1/4 ;;7  1/2 ;;7  1/2 ;;7  3/4 ;;7  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
X;ANCHO DE PECHERA INFERIOR;;C;CRITICA;  3/8 ;  3/8 ;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;2  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
Y;LARGO DE BLOQUE DELANTERO;;P;CRITICA;;;29  3/8 ;;30  3/8 ;;31  3/8 ;;32  3/8 ;;33  3/8 ;;34  3/8 ;;35  3/8 ;;;;;;;;;;;;;;;;;;;;;;;
Z;ANCHO DE HOMBRO BLOQUE DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;19  1/2 ;;20  1/4 ;;21      ;;22      ;;23      ;;24  1/2 ;;26      ;;;;;;;;;;;;;;;;;;;;;;;
Z1;ANCHO DE PECHO BOLQUE DELANTERO;;P;CRITICA;;;22  7/16;;23  7/16;;24  7/16;;25 15/16;;27  7/16;;29 15/16;;32  7/16;;;;;;;;;;;;;;;;;;;;;;;
Z2;ANCHO DE FALDON BLOQUE DELANTERO;;P;CRITICA;;;21  7/16;;22  7/16;;23  7/16;;24 15/16;;26  7/16;;28 15/16;;31  7/16;;;;;;;;;;;;;;;;;;;;;;;
1;ALTO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;6      ;;6  1/4 ;;6  1/2 ;;6  3/4 ;;7      ;;7  1/2 ;;7  7/8 ;;;;;;;;;;;;;;;;;;;;;;;
2;ANCHO DE MEDIO PECHO DELANTERO;;P;CRITICA;;;15      ;;15  3/4 ;;16  1/2 ;;17  1/2 ;;18  1/2 ;;20      ;;21  1/2 ;;;;;;;;;;;;;;;;;;;;;;;
3;ALTO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;7  7/8 ;;8  1/8 ;;8  3/8 ;;8  5/8 ;;8  7/8 ;;9  3/8 ;;9  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
4;ANCHO DE MEDIO PECHO ESPALDA;;P;CRITICA;;;15  9/16;;16  5/16;;17  1/16;;18  1/16;;19  1/16;;20  9/16;;22  1/16;;;;;;;;;;;;;;;;;;;;;;;
5;LARGO DE TAJO DELANTERO;;P;CRITICA;;;4 11/16;;4 15/16;;4 15/16;;5  3/16;;5  3/16;;5  7/16;;5  7/16;;;;;;;;;;;;;;;;;;;;;;;
6;ANCHO DE HOMBRO INDIVIDUAL;;P;CRITICA;;;6  1/4 ;;6  1/2 ;;6 13/16;;7  3/16;;7  9/16;;8  1/16;;8  9/16;;;;;;;;;;;;;;;;;;;;;;;
7;ANCHO DE ABERTURA DE TAJO;;P;CRITICA;;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
8;ANCHO DE PUÑO;;C;CRITICA;;;11  3/4 ;;12  3/4 ;;13  3/4 ;;14  3/4 ;;15  3/4 ;;17  1/4 ;;18  3/4 ;;;;;;;;;;;;;;;;;;;;;;;
9;ALTO DE PUÑO;;C;CRITICA;;;2      ;;2      ;;2      ;;2      ;;2      ;;2      ;;2      ;;;;;;;;;;;;;;;;;;;;;;;
10;ANCHO DE TAPETE VENTZ;;C;CRITICA;;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;10  5/8 ;;;;;;;;;;;;;;;;;;;;;;;
11;ALTO  DE TAPETE VENTZ;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
