B;ANCHO DE PECHO EN SISA DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;10  1/2 ;;11      ;;11  1/2 ;;12      ;;12  3/4 ;;;;;;;;;;;;;;;;;;;
C;ANCHO DE FALDON DELANTERO ;;P;CRITICA;  3/8 ;  3/8 ;10  3/16;;10 11/16;;11  3/16;;11 11/16;;12  7/16;;;;;;;;;;;;;;;;;;;
D;ANCHO DE HOMBRO DELANTERO;;P;CRITICA;  3/8 ;  3/8 ;10  1/4 ;;10  3/4 ;;11  1/4 ;;11  3/4 ;;12  1/2 ;;;;;;;;;;;;;;;;;;;
E;ABERTURA DE CUELLO DELANTERO;;P;CRITICA;;;5  5/16;;5  1/2 ;;5 11/16;;5  7/8 ;;6  1/16;;;;;;;;;;;;;;;;;;;
F;SISA RECTA DELANTERO;;P;CRITICA;;;6  5/16;;6 13/16;;7  1/4 ;;7  3/4 ;;8  1/2 ;;;;;;;;;;;;;;;;;;;
G;ALTO DE CANESU;;P;CRITICA;;;4  9/16;;4  9/16;;4  9/16;;4  9/16;;4  9/16;;;;;;;;;;;;;;;;;;;
H;ANCHO DE HOMBRO EN CANESU;;P;CRITICA;  5/16;  1/4 ;20  1/8 ;;21  1/8 ;;22  1/8 ;;23  1/8 ;;24  5/8 ;;;;;;;;;;;;;;;;;;;
I;ANCHO INFERIOR DE CANESU;;P;CRITICA;  3/8 ;  3/8 ;20      ;;21      ;;22      ;;23      ;;24  1/2 ;;;;;;;;;;;;;;;;;;;
J;ABERTURA DE CUELLO ESPALDA;;P;CRITICA;;;9  1/16;;9  5/16;;9  9/16;;9 13/16;;10  1/16;;;;;;;;;;;;;;;;;;;
K;CAIDA DE CUELLO ESPALDA;;P;CRITICA;;;1  1/16;;1  3/16;;1  5/16;;1  7/16;;1  9/16;;;;;;;;;;;;;;;;;;;
L;SISA RECTA ESPALDA EN CANESU;;P;CRITICA;;;4  1/8 ;;4  3/16;;4  1/4 ;;4  5/16;;4  3/8 ;;;;;;;;;;;;;;;;;;;
M;ANCHO DE HOMBRO ESPALDA;;P;CRITICA;  3/8 ;  1/4 ;23      ;;24      ;;25      ;;26      ;;27  1/2 ;;;;;;;;;;;;;;;;;;;
N;ANCHO DE PECHO EN SISA ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;22  3/4 ;;23  3/4 ;;24  3/4 ;;25  3/4 ;;27  1/4 ;;;;;;;;;;;;;;;;;;;
O;LARGO DE CUERPO ESPALDA;;P;CRITICA;  3/8 ;  3/8 ;23  1/2 ;;23  7/8 ;;24  1/4 ;;24  5/8 ;;25      ;;;;;;;;;;;;;;;;;;;
P;SISA RECTA EN ESPALDA;;P;CRITICA;;;3  1/4 ;;3  3/4 ;;4  1/8 ;;4  9/16;;5  5/16;;;;;;;;;;;;;;;;;;;
Q;ANCHO DE FALDON ESPALDA;;P;CRITICA;;;19  3/4 ;;20  3/4 ;;21  3/4 ;;22  3/4 ;;24  1/4 ;;;;;;;;;;;;;;;;;;;
R;LARGO DE MANGA;;P;CRITICA;;;20  1/4 ;;20  1/2 ;;20  3/4 ;;21      ;;21  1/4 ;;;;;;;;;;;;;;;;;;;
S;ANCHO DE MANGA BICEP;;P;CRITICA;;;13  1/8 ;;13 13/16;;14  9/16;;15  5/16;;16  3/4 ;;;;;;;;;;;;;;;;;;;
T;BOCA DE MANGA;;P;CRITICA;;;8  1/8 ;;8  5/8 ;;9  1/8 ;;9  5/8 ;;10  1/8 ;;;;;;;;;;;;;;;;;;;
U;ALTO DE COLLARETA CUELLO(DISP);;C;CRITICA;;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;1  3/8 ;;;;;;;;;;;;;;;;;;;
V;LARGO DE COLLARETA CUELLO;;C;CRITICA;;;25  5/8 ;;26  1/4 ;;27      ;;27  3/4 ;;28  3/8 ;;;;;;;;;;;;;;;;;;;
W;ALTO DE TAPETE CUELLO;;C;CRITICA;;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;1  1/8 ;;;;;;;;;;;;;;;;;;;
X;LARGO DE TAPETE;;C;CRITICA;;;14  7/16;;14  3/4 ;;15  1/16;;15  3/8 ;;15  3/4 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
